157, 30, 103
248, 37, 159
209, 64, 138
195, 85, 20
175, 88, 95
136, 118, 212
139, 131, 74
191, 145, 61
192, 152, 56
213, 152, 51
161, 160, 65
190, 163, 60
144, 176, 64
191, 181, 56
222, 182, 181
244, 193, 57
237, 197, 57
275, 206, 53
228, 207, 57
166, 216, 57
187, 228, 53
174, 231, 56
210, 240, 186
257, 254, 57
206, 256, 183
226, 260, 65
246, 262, 60
202, 272, 182
219, 272, 195
193, 288, 48
202, 288, 183
202, 300, 182
210, 304, 198
266, 304, 67
181, 308, 42
200, 312, 180
158, 317, 180
210, 317, 200
249, 318, 197
163, 323, 49
176, 324, 178
214, 330, 134
181, 332, 33
253, 336, 90
270, 342, 200
205, 346, 155
242, 351, 212
166, 352, 177
255, 353, 210
182, 356, 171
262, 361, 217
227, 364, 231
217, 379, 247
229, 380, 249
254, 381, 236
226, 390, 127
