313, -215, 124
298, -182, 4
259, -178, 243
279, -156, 117
328, -146, 22
258, -152, 246
256, -145, 103
265, -144, 249
366, -122, 153
327, -122, 144
232, -129, 232
319, -115, 23
200, -114, 223
290, -95, 128
256, -93, 245
334, -69, 155
359, -40, 37
324, -40, 43
227, -47, 223
263, -32, 254
162, -40, 87
235, -15, 226
216, -11, 82
278, 0, 39
250, 0, 243
362, 24, 47
344, 33, 53
260, 21, 57
247, 37, 237
257, 40, 65
256, 49, 65
247, 49, 74
281, 69, 67
201, 64, 72
233, 70, 206
315, 84, 64
212, 79, 69
319, 101, 62
228, 89, 203
265, 96, 80
214, 94, 194
202, 104, 199
220, 106, 216
337, 133, 54
234, 123, 99
183, 116, 205
207, 129, 224
175, 139, 213
192, 141, 220
340, 164, 46
323, 164, 67
244, 157, 215
266, 176, 90
336, 187, 49
171, 168, 227
291, 188, 91
262, 191, 213
355, 207, 163
335, 205, 42
188, 193, 235
357, 221, 138
321, 222, 235
275, 221, 217
215, 218, 234
306, 232, 229
191, 224, 247
238, 232, 230
286, 252, 231
244, 252, 236
291, 264, 242
