184, 51, 3
206, 60, 8
99, 71, 219
94, 80, 200
86, 88, 205
70, 100, 209
60, 106, 213
358, 118, 160
283, 153, 150
201, 157, 131
169, 166, 2
215, 196, 135
55, 204, 88
360, 198, 165
255, 244, 32
135, 255, 88
319, 254, 164
47, 267, 214
287, 278, 161
63, 288, 75
245, 308, 150
98, 325, 69
218, 331, 97
173, 334, 68
408, 327, 48
221, 340, 64
406, 340, 176
246, 350, 149
295, 350, 44
225, 356, 54
237, 364, 45
217, 375, 57
406, 368, 171
203, 384, 60
361, 387, 172
276, 394, 42
242, 401, 48
392, 406, 44
313, 411, 171
354, 417, 41
90, 430, 64
274, 441, 47
221, 453, 183
223, 463, 180
276, 461, 175
136, 486, 61
207, 489, 55
