281, -148, 105
212, -135, 95
344, -146, 253
191, -111, 224
288, -92, 238
175, -67, 223
160, -49, 95
194, -37, 225
356, -44, 125
295, -30, 242
262, -20, 99
341, -23, 4
207, -5, 96
401, -3, 20
230, 11, 226
319, 7, 113
388, 2, 142
300, 17, 242
345, 18, 12
225, 48, 89
193, 56, 90
341, 46, 121
354, 66, 22
432, 74, 37
328, 111, 10
139, 128, 88
216, 137, 80
345, 133, 46
333, 141, 63
292, 160, 67
254, 176, 67
228, 206, 66
201, 214, 73
154, 222, 88
381, 213, 177
191, 247, 76
398, 241, 164
191, 271, 67
297, 264, 35
186, 293, 62
297, 306, 166
366, 314, 16
219, 329, 163
388, 318, 142
248, 331, 163
