282, 32, 5
230, 59, 101
318, 48, 135
290, 57, 8
271, 116, 250
325, 108, 143
285, 129, 9
225, 144, 226
326, 135, 145
302, 141, 129
271, 150, 248
283, 178, 6
404, 169, 55
295, 218, 38
269, 237, 87
294, 237, 69
381, 224, 63
357, 232, 62
415, 220, 186
297, 253, 73
317, 254, 172
335, 254, 65
361, 256, 195
294, 273, 79
308, 281, 74
432, 288, 59
417, 310, 62
367, 332, 71
399, 338, 68
251, 372, 87
242, 407, 214
222, 416, 218
457, 391, 54
437, 408, 69
246, 483, 226
467, 443, 57
470, 458, 74
284, 510, 229
479, 473, 67
383, 495, 216
409, 493, 218
466, 483, 211
355, 514, 223
328, 526, 229
