226, -11, 118
234, -10, 121
311, 27, 15
222, 23, 110
213, 46, 246
360, 69, 28
254, 71, 9
254, 88, 127
364, 112, 157
325, 112, 31
315, 114, 151
182, 120, 93
130, 138, 84
174, 155, 81
139, 151, 219
280, 178, 39
150, 162, 81
355, 199, 49
187, 182, 73
246, 191, 88
211, 192, 71
249, 201, 53
240, 217, 58
188, 212, 203
197, 216, 67
165, 231, 64
144, 269, 60
241, 291, 191
377, 316, 60
231, 294, 180
272, 301, 79
234, 313, 198
171, 305, 46
301, 329, 71
283, 329, 79
180, 325, 176
