154, -27, 235
305, -18, 130
267, 26, 4
299, 50, 135
165, 54, 230
261, 83, 6
205, 88, 98
378, 93, 25
332, 113, 27
128, 119, 91
330, 134, 151
289, 134, 24
187, 148, 222
101, 162, 214
280, 166, 33
212, 170, 232
251, 210, 46
239, 217, 68
155, 222, 212
239, 225, 61
285, 227, 41
226, 228, 78
387, 235, 169
193, 235, 91
177, 243, 217
252, 253, 52
234, 255, 63
288, 273, 37
317, 275, 165
218, 274, 86
338, 278, 170
103, 282, 220
228, 288, 58
169, 295, 223
325, 302, 35
133, 302, 223
224, 313, 161
317, 316, 165
246, 332, 156
187, 333, 243
353, 338, 162
117, 337, 237
163, 340, 244
205, 341, 9
313, 350, 161
148, 348, 249
275, 367, 154
301, 373, 155
328, 416, 148
307, 431, 12
