163, 27, 116
271, 28, 120
97, 30, 117
292, 39, 254
154, 46, 241
230, 57, 249
251, 62, 122
215, 81, 245
428, 136, 21
67, 147, 233
154, 183, 235
82, 191, 229
364, 191, 29
322, 195, 26
485, 196, 40
41, 200, 101
297, 201, 20
178, 209, 234
255, 213, 120
230, 215, 249
248, 241, 11
440, 243, 168
421, 250, 49
261, 256, 47
250, 263, 118
283, 265, 160
345, 279, 73
231, 287, 96
389, 288, 66
12, 317, 229
331, 328, 87
365, 332, 74
48, 340, 229
430, 368, 40
347, 376, 85
377, 380, 60
411, 391, 38
7, 396, 244
95, 398, 236
40, 409, 243
363, 409, 76
24, 439, 250
355, 441, 235
315, 445, 233
95, 446, 245
265, 450, 235
284, 462, 243
47, 466, 253
180, 475, 242
274, 477, 116
112, 480, 249
244, 485, 245
200, 488, 246
