Factor,degree,GA,IA,GAcc,IAcc,GR,IR,FAR,FRR,EER
8,5,200,19800,198,0,2,19800,0.0,1.0,0.5
8,6,200,19800,191,0,9,19800,0.0,4.5,2.25
8,7,200,19800,187,0,13,19800,0.0,6.5,3.25
8,8,200,19800,183,0,17,19800,0.0,8.5,4.25
8,9,200,19800,177,0,23,19800,0.0,11.5,5.75
8,10,200,19800,172,0,28,19800,0.0,14.0,7.0
8,11,200,19800,169,0,31,19800,0.0,15.5,7.75
10,5,200,19800,199,0,1,19800,0.0,0.5,0.25
10,6,200,19800,197,0,3,19800,0.0,1.5,0.75
10,7,200,19800,196,0,4,19800,0.0,2.0,1.0
10,8,200,19800,193,0,7,19800,0.0,3.5,1.75
10,9,200,19800,190,0,10,19800,0.0,5.0,2.5
10,10,200,19800,185,0,15,19800,0.0,7.5,3.75
10,11,200,19800,179,0,21,19800,0.0,10.5,5.25
12,5,200,19800,199,0,1,19800,0.0,0.5,0.25
12,6,200,19800,199,0,1,19800,0.0,0.5,0.25
12,7,200,19800,198,0,2,19800,0.0,1.0,0.5
12,8,200,19800,198,0,2,19800,0.0,1.0,0.5
12,9,200,19800,194,0,6,19800,0.0,3.0,1.5
12,10,200,19800,193,0,7,19800,0.0,3.5,1.75
12,11,200,19800,189,0,11,19800,0.0,5.5,2.75
14,5,200,19800,200,8,0,19792,0.0404,0.0,0.0202
14,6,200,19800,199,1,1,19799,0.0051,0.5,0.2525
14,7,200,19800,198,0,2,19800,0.0,1.0,0.5
14,8,200,19800,197,0,3,19800,0.0,1.5,0.75
14,9,200,19800,197,0,3,19800,0.0,1.5,0.75
14,10,200,19800,194,0,6,19800,0.0,3.0,1.5
14,11,200,19800,194,0,6,19800,0.0,3.0,1.5
16,5,200,19800,200,31,0,19769,0.1566,0.0,0.0783
16,6,200,19800,200,10,0,19790,0.0505,0.0,0.0253
16,7,200,19800,200,0,0,19800,0.0,0.0,0.0
16,8,200,19800,200,0,0,19800,0.0,0.0,0.0
16,9,200,19800,197,0,3,19800,0.0,1.5,0.75
16,10,200,19800,196,0,4,19800,0.0,2.0,1.0
16,11,200,19800,196,0,4,19800,0.0,2.0,1.0
18,5,200,19800,200,81,0,19719,0.4091,0.0,0.2045
18,6,200,19800,200,35,0,19765,0.1768,0.0,0.0884
18,7,200,19800,199,12,1,19788,0.0606,0.5,0.2803
18,8,200,19800,199,1,1,19799,0.0051,0.5,0.2525
18,9,200,19800,199,1,1,19799,0.0051,0.5,0.2525
18,10,200,19800,199,1,1,19799,0.0051,0.5,0.2525
18,11,200,19800,198,0,2,19800,0.0,1.0,0.5
20,5,200,19800,200,284,0,19516,1.4343,0.0,0.7172
